region,regionName,currency,productId,productJsonFile,brand,brandAnchor,name,format,defaultVariantIndex,description,descriptionSource,pointsJson,searchText,variantIndex,variantLabel,variantProduct,size,rawSize,priceNow,priceWas,imageSrc,imageKind,imageAlt,imageKey,imageTrusted,variantSearchText,sourceUrl,sku,imageOriginalSrc,imageOriginalKind,imageFallbackSrc,imageSourceUrl,imageResolutionMethod,imageMatchStatus,imageOfficialDomain,imageFrontFacing,imageNotes
eu,Europe,EUR,activated-probiotics-biome-advanced-probiotic-42a3cb10,activated-probiotics-biome-advanced-probiotic-42a3cb10.json,Activated Probiotics,brand-activatedprobiotics,Biome Advanced Probiotic,Capsules,0,Biome Advanced Probiotic by Activated Probiotics is a practitioner-grade capsule-format product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome advanced probiotic activated probiotics biome advanced probiotic 30 capsules 30 caps,0,30 caps,Biome Advanced Probiotic,30 caps,30 Capsules,€39.59,€65.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-advanced-probiotic%2F&embed=image.url,product,Activated Probiotics Biome Advanced Probiotic 30 caps,2a74d57d232cdb87ec54,True,Activated Probiotics Biome Advanced Probiotic 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-advanced-probiotic/,official-product-page-single-catalogue-package,evidence-backed-product-and-package-match,activatedprobiotics.com.au,Primary product/package image from the cited product-specific evidence page.,Official/product-specific page maps to one parsed physical package across all unresolved catalogue uses; product-name/URL overlap=1.00.
eu,Europe,EUR,activated-probiotics-biome-cholecare-416e11cc,activated-probiotics-biome-cholecare-416e11cc.json,Activated Probiotics,brand-activatedprobiotics,Biome Cholecare,Capsules,0,"Biome Cholecare by Activated Probiotics is a practitioner-grade capsule-format product in this store. It is intended for use as part of a targeted supplement, wellness, or personal-care protocol selected for the individual. Review the selected size and label directions before use.",Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome cholecare activated probiotics biome cholecare 30 capsules 30 caps,0,30 caps,Biome Cholecare,30 caps,30 Capsules,€28.79,€47.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-cholecare&embed=image.url,product,Activated Probiotics Biome Cholecare 30 Capsules,883fae8ccfbba112a1fa,True,Activated Probiotics Biome Cholecare 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-cholecare,official-manufacturer-page-exact-slug-unique-package,exact-official-product-page-single-catalogue-package,activatedprobiotics.com.au,primary image from an exact product page; package conflicts and shared multi-size mappings were excluded,v13_all_remaining_completion: identity=direct-brand (high); image tier=B1; page validation=not-http-probed. Product identity source=direct-brand; target manufacturer/brand=Activated Probiotics; exact product/package encoded in candidate URL. Original brand logo retained as fallback. | v14_strict_accuracy: active product image removed: V13 assignment was not trusted/verified. Candidate retained in audit queue: https://activatedprobiotics.com.au/products/biome-cholecare | v15_deep_manufacturer_pass: Official manufacturer product URL; exact product slug match (100%); one product identity and one recognized package mapping; no conflicting size assignment. Evidence tier=B_official_unique_product_package.
eu,Europe,EUR,activated-probiotics-biome-daily-kids-probiotic-eeca70e8,activated-probiotics-biome-daily-kids-probiotic-eeca70e8.json,Activated Probiotics,brand-activatedprobiotics,Biome Daily Kids Probiotic,Powder,0,Biome Daily Kids Probiotic by Activated Probiotics is a practitioner-grade powder product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Powder""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome daily kids probiotic activated probiotics biome daily kids probiotic 30 sachets 30 sachets,0,30 sachets,Biome Daily Kids Probiotic,30 sachets,30 Sachets,€23.99,€39.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-daily-kids-probiotic%2F&embed=image.url,product,Activated Probiotics Biome Daily Kids Probiotic 30 sachets,ff5c1075997d120506d3,True,Activated Probiotics Biome Daily Kids Probiotic 30 Sachets 30 sachets,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-daily-kids-probiotic/,official-manufacturer-unique-product-package-mapping,exact-official-product-page-unique-catalogue-package-mapping,activatedprobiotics.com.au,primary official product-page image expected; exact product page with one non-conflicting catalogue package mapping,"Official manufacturer product page matches the normalized product name, maps to only one product/package in the full audit, and has a clean standard package field. Shared-page size conflicts, malformed sizes, dose-only sizes, and ambiguous records were excluded."
eu,Europe,EUR,activated-probiotics-biome-daily-probiotic-bd75b398,activated-probiotics-biome-daily-probiotic-bd75b398.json,Activated Probiotics,brand-activatedprobiotics,Biome Daily Probiotic,Capsules,0,Biome Daily Probiotic by Activated Probiotics is a practitioner-grade capsule-format product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome daily probiotic activated probiotics biome daily probiotic 30 capsules 30 caps,0,30 caps,Biome Daily Probiotic,30 caps,30 Capsules,€23.99,€39.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-daily-probiotic%2F&embed=image.url,product,Activated Probiotics Biome Daily Probiotic 30 caps,bc781a3df4989c52eacc,True,Activated Probiotics Biome Daily Probiotic 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-daily-probiotic/,official-manufacturer-unique-product-package-mapping,exact-official-product-page-unique-catalogue-package-mapping,activatedprobiotics.com.au,primary official product-page image expected; exact product page with one non-conflicting catalogue package mapping,"Official manufacturer product page matches the normalized product name, maps to only one product/package in the full audit, and has a clean standard package field. Shared-page size conflicts, malformed sizes, dose-only sizes, and ambiguous records were excluded."
eu,Europe,EUR,activated-probiotics-biome-derma-probiotic-78aaf674,activated-probiotics-biome-derma-probiotic-78aaf674.json,Activated Probiotics,brand-activatedprobiotics,Biome Derma Probiotic,Capsules,0,Biome Derma Probiotic by Activated Probiotics is a practitioner-grade capsule-format product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome derma probiotic activated probiotics biome derma probiotic 30 capsules 30 caps,0,30 caps,Biome Derma Probiotic,30 caps,30 Capsules,€26.39,€43.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-derma-probiotic&embed=image.url,product,Activated Probiotics Biome Derma Probiotic 30 Capsules,da6d9237789d0daecc3d,True,Activated Probiotics Biome Derma Probiotic 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-derma-probiotic,official-manufacturer-page-exact-slug-unique-package,exact-official-product-page-single-catalogue-package,activatedprobiotics.com.au,primary image from an exact product page; package conflicts and shared multi-size mappings were excluded,v13_all_remaining_completion: identity=direct-brand (high); image tier=B1; page validation=not-http-probed. Product identity source=direct-brand; target manufacturer/brand=Activated Probiotics; exact product/package encoded in candidate URL. Original brand logo retained as fallback. | v14_strict_accuracy: active product image removed: V13 assignment was not trusted/verified. Candidate retained in audit queue: https://activatedprobiotics.com.au/products/biome-derma-probiotic | v15_deep_manufacturer_pass: Official manufacturer product URL; exact product slug match (100%); one product identity and one recognized package mapping; no conflicting size assignment. Evidence tier=B_official_unique_product_package.
eu,Europe,EUR,activated-probiotics-biome-her-probiotic-02c87e7a,activated-probiotics-biome-her-probiotic-02c87e7a.json,Activated Probiotics,brand-activatedprobiotics,Biome Her Probiotic,Capsules,0,Biome Her Probiotic by Activated Probiotics is a practitioner-grade capsule-format product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome her probiotic activated probiotics biome her probiotic 30 capsules 30 caps,0,30 caps,Biome Her Probiotic,30 caps,30 Capsules,€32.99,€54.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-her-probiotic%2F&embed=image.url,product,Activated Probiotics Biome Her Probiotic 30 caps,75d70f8c77dcc3254721,True,Activated Probiotics Biome Her Probiotic 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-her-probiotic/,official-manufacturer-unique-product-package-mapping,exact-official-product-page-unique-catalogue-package-mapping,activatedprobiotics.com.au,primary official product-page image expected; exact product page with one non-conflicting catalogue package mapping,"Official manufacturer product page matches the normalized product name, maps to only one product/package in the full audit, and has a clean standard package field. Shared-page size conflicts, malformed sizes, dose-only sizes, and ambiguous records were excluded."
eu,Europe,EUR,activated-probiotics-biome-iron-probiotic-8899d383,activated-probiotics-biome-iron-probiotic-8899d383.json,Activated Probiotics,brand-activatedprobiotics,Biome Iron+ Probiotic,Capsules,0,Biome Iron+ Probiotic by Activated Probiotics is a practitioner-grade capsule-format product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome iron+ probiotic activated probiotics biome iron+ probiotic 30 capsules 30 caps,0,30 caps,Biome Iron+ Probiotic,30 caps,30 Capsules,€37.19,€61.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-iron-probiotic&embed=image.url,product,Activated Probiotics Biome Iron+ Probiotic 30 Capsules,9e07189b620c77ea9354,True,Activated Probiotics Biome Iron+ Probiotic 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-iron-probiotic,official-manufacturer-page-exact-slug-unique-package,exact-official-product-page-single-catalogue-package,activatedprobiotics.com.au,primary image from an exact product page; package conflicts and shared multi-size mappings were excluded,v13_all_remaining_completion: identity=direct-brand (high); image tier=B1; page validation=not-http-probed. Product identity source=direct-brand; target manufacturer/brand=Activated Probiotics; exact product/package encoded in candidate URL. Original brand logo retained as fallback. | v14_strict_accuracy: active product image removed: V13 assignment was not trusted/verified. Candidate retained in audit queue: https://activatedprobiotics.com.au/products/biome-iron-probiotic | v15_deep_manufacturer_pass: Official manufacturer product URL; exact product slug match (100%); one product identity and one recognized package mapping; no conflicting size assignment. Evidence tier=B_official_unique_product_package.
eu,Europe,EUR,activated-probiotics-biome-lax-probiotic-f1c63864,activated-probiotics-biome-lax-probiotic-f1c63864.json,Activated Probiotics,brand-activatedprobiotics,Biome Lax Probiotic,Capsules,0,Biome Lax Probiotic by Activated Probiotics is a practitioner-grade capsule-format product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome lax probiotic activated probiotics biome lax probiotic 30 capsules 30 caps,0,30 caps,Biome Lax Probiotic,30 caps,30 Capsules,€26.39,€43.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-lax-probiotic&embed=image.url,product,Activated Probiotics Biome Lax Probiotic 30 Capsules,5c25ca46b64807322940,True,Activated Probiotics Biome Lax Probiotic 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-lax-probiotic,official-manufacturer-page-exact-slug-unique-package,exact-official-product-page-single-catalogue-package,activatedprobiotics.com.au,primary image from an exact product page; package conflicts and shared multi-size mappings were excluded,v13_all_remaining_completion: identity=direct-brand (high); image tier=B1; page validation=not-http-probed. Product identity source=direct-brand; target manufacturer/brand=Activated Probiotics; exact product/package encoded in candidate URL. Original brand logo retained as fallback. | v14_strict_accuracy: active product image removed: V13 assignment was not trusted/verified. Candidate retained in audit queue: https://activatedprobiotics.com.au/products/biome-lax-probiotic | v15_deep_manufacturer_pass: Official manufacturer product URL; exact product slug match (100%); one product identity and one recognized package mapping; no conflicting size assignment. Evidence tier=B_official_unique_product_package.
eu,Europe,EUR,activated-probiotics-biome-osteo-probiotic-ff9c9ae1,activated-probiotics-biome-osteo-probiotic-ff9c9ae1.json,Activated Probiotics,brand-activatedprobiotics,Biome Osteo Probiotic,Capsules,0,Biome Osteo Probiotic by Activated Probiotics is a practitioner-grade capsule-format product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome osteo probiotic activated probiotics biome osteo probiotic 30 capsules 30 caps,0,30 caps,Biome Osteo Probiotic,30 caps,30 Capsules,€38.39,€63.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-osteo-probiotic&embed=image.url,product,Activated Probiotics Biome Osteo Probiotic 30 Capsules,77e2f6938960d4826f69,True,Activated Probiotics Biome Osteo Probiotic 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-osteo-probiotic,official-manufacturer-page-exact-slug-unique-package,exact-official-product-page-single-catalogue-package,activatedprobiotics.com.au,primary image from an exact product page; package conflicts and shared multi-size mappings were excluded,v13_all_remaining_completion: identity=direct-brand (high); image tier=B1; page validation=not-http-probed. Product identity source=direct-brand; target manufacturer/brand=Activated Probiotics; exact product/package encoded in candidate URL. Original brand logo retained as fallback. | v14_strict_accuracy: active product image removed: V13 assignment was not trusted/verified. Candidate retained in audit queue: https://activatedprobiotics.com.au/products/biome-osteo-probiotic | v15_deep_manufacturer_pass: Official manufacturer product URL; exact product slug match (100%); one product identity and one recognized package mapping; no conflicting size assignment. Evidence tier=B_official_unique_product_package.
eu,Europe,EUR,activated-probiotics-biome-relief-probiotic-0b523525,activated-probiotics-biome-relief-probiotic-0b523525.json,Activated Probiotics,brand-activatedprobiotics,Biome Relief Probiotic,Capsules,0,Biome Relief Probiotic by Activated Probiotics is a practitioner-grade capsule-format product in this store. This formula is commonly selected for digestive and microbiome support. Review the selected size and label directions before use.,Generated from catalog product data,"[{""label"":""Format"",""value"":""Capsules""},{""label"":""Use guidance"",""value"":""Follow the product label or practitioner instructions for use.""}]",activated probiotics biome relief probiotic activated probiotics biome relief probiotic 30 capsules 30 caps,0,30 caps,Biome Relief Probiotic,30 caps,30 Capsules,€37.19,€61.99,https://api.microlink.io/?url=https%3A%2F%2Factivatedprobiotics.com.au%2Fproducts%2Fbiome-relief-probiotic%2F&embed=image.url,product,Activated Probiotics Biome Relief Probiotic 30 caps,1956348841a33492f849,True,Activated Probiotics Biome Relief Probiotic 30 Capsules 30 caps,,,../brand_badges/activated-probiotics.jpg,brand-logo,../brand_badges/activated-probiotics.jpg,https://activatedprobiotics.com.au/products/biome-relief-probiotic/,official-manufacturer-unique-product-package-mapping,exact-official-product-page-unique-catalogue-package-mapping,activatedprobiotics.com.au,primary official product-page image expected; exact product page with one non-conflicting catalogue package mapping,"Official manufacturer product page matches the normalized product name, maps to only one product/package in the full audit, and has a clean standard package field. Shared-page size conflicts, malformed sizes, dose-only sizes, and ambiguous records were excluded."
